Wavenumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
403.788,4100.468538,6519.147408,5076.917224,3438.270534,5278.984715,4144.594462,3187.458605,8431.063736,6092.481056,4708.620573,5614.296482,6172.25877,4642.834189,3791.694651,4876.996244
408.15,3421.701922,5750.780565,4411.860644,2789.735343,4526.283614,3638.437432,2516.742153,7063.448707,5344.072728,4215.04145,4882.20062,5398.329026,4020.340165,3246.072005,4252.879731
412.511,2589.255302,4657.793717,3535.214059,2094.860148,3580.602508,2937.930399,1935.685698,5583.443669,4309.174394,3334.172323,3992.744753,4328.859276,3199.916135,2501.709355,3391.533213
416.867,2223.15867,4316.936849,3172.06746,1730.944944,3245.231387,2671.683354,1605.889235,5123.908607,3916.916043,3133.273183,3614.32887,4023.699508,2896.672093,2340.366694,2993.156681
421.217,2727.452017,4797.889945,3682.920833,2037.619721,3662.270238,3021.946286,1900.002755,5987.273501,4498.007658,3604.424016,4109.152956,4513.069706,3282.568025,2640.584012,3459.040123
425.563,3537.85533,6182.292985,4429.474162,2617.284471,4692.199043,3662.889182,2578.936249,7735.488323,5667.22922,4315.194808,5154.396994,5557.749851,4174.613918,3293.551299,4383.203523
429.907,4366.358593,7269.975942,5188.497427,3396.28918,5688.087783,4438.962026,3242.279706,9508.333042,6655.700705,5157.34554,6183.24096,6701.279917,5033.189752,3973.908539,5241.596861
434.245,4988.611789,8147.968783,5889.180605,3953.983835,6245.216433,4925.054797,3650.513113,10561.67762,7441.902083,5569.086188,6900.934829,7498.489876,5459.095506,4437.105714,5824.700116
438.581,4985.214894,8088.061469,5824.763665,3873.058416,6220.684961,4803.847471,3671.256452,10478.922,7440.463318,5636.916724,6945.218565,7456.13969,5515.631153,4416.772802,5897.673257
442.91,3889.69788,6813.703954,4906.866572,3153.622903,5183.483332,4164.440019,2775.139702,8381.06613,6161.284366,4643.627114,5745.54213,6164.659316,4536.32666,3692.379779,4837.876251
447.238,2330.860715,4677.38618,3520.729285,2306.257269,3533.821501,2827.312406,1684.992841,5634.369937,4378.505174,3433.097319,4047.095474,4348.8987,3102.061988,2509.016611,3221.439057
451.561,1304.993361,3158.228085,2348.331758,1433.061484,2314.639421,1963.614593,881.7758393,3461.373342,3048.165687,2421.077293,2809.088546,3031.697787,2120.557095,1528.603267,2026.99163
455.88,740.1657795,2345.679603,1816.733941,410.8555187,1721.41704,1571.776541,380.2186696,2354.92626,2373.695841,1868.976989,2084.431288,2288.376512,1540.211935,1102.089708,1621.593922
460.194,542.4879302,2010.580663,1535.005782,284.8793387,1436.964303,1221.158205,302.3313019,1882.878603,2065.615573,1582.686358,1817.153639,1944.474812,1423.44646,1011.215896,1313.305883
464.505,449.5797716,1939.421191,1545.167228,226.7129112,1408.361155,1295.57954,201.0937063,1769.320282,2046.974814,1672.515346,1673.795539,1899.082619,1234.360621,950.9117916,1210.277459
468.812,373.841262,1811.111114,1525.288223,55.77620274,1350.447538,1154.110501,144.4158524,1857.791204,1905.453495,1595.403901,1748.126923,1829.129864,1254.064366,834.4873547,1183.118599
473.113,373.1223592,1974.190354,1562.07871,202.0991795,1453.893394,1301.67104,51.85770962,1826.521275,2020.481544,1648.871966,1800.767725,1877.836474,1212.077644,914.0325436,1240.149247
