Wavenumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
403.788,1322.634272,3081.133045,3260.494738,2512.703147,2894.950507,3294.445141,2551.208701,2289.137615,2902.085176,2945.502945,2715.641514,2719.794105,2692.849911,4216.43002,2664.7983,2778.325045,2187.383889,3091.83002,2512.254891,2396.039766
408.15,1018.885592,2274.08883,2459.10298,1914.125248,2221.421414,2654.619107,1949.87323,1778.552744,2284.867222,2265.137894,2131.398399,2041.511644,2011.711415,3253.753986,1919.747466,1918.043037,1473.960428,2263.75676,1885.171631,1776.514961
412.511,788.3169114,1681.294616,2189.47119,1584.457348,1808.042321,2013.163071,1413.067755,1366.29787,1616.269268,1747.502842,1739.335283,1594.399183,1511.882916,2512.677949,1498.07663,1546.13103,1189.466967,1673.393497,1423.918368,1345.320155
416.867,1023.468231,1552.320401,2107.40931,1633.399447,1755.783227,1923.137035,1496.472274,1341.72299,1668.961312,1710.89779,1857.032166,1536.536721,1462.41441,2515.6219,1529.105786,1561.329022,1245.953504,1709.030226,1529.345099,1424.145349
421.217,1302.689549,1666.366184,2251.807261,1767.611545,2076.894131,2064.510997,1545.306779,1515.318098,1853.153356,1964.222736,2061.839048,1654.134257,1615.07589,2799.515829,1670.574928,1675.217012,1410.820041,1793.10694,1580.511816,1617.490542
425.563,1537.290867,2365.671965,2761.224943,2361.953641,2596.175033,2642.744957,2137.191265,2019.213188,2505.165396,2648.69768,2513.705928,2367.021791,2222.507349,3723.869724,2247.74405,2306.015,1722.396576,2387.663629,2221.778514,2047.515732
429.907,1551.422183,2917.367742,2953.872233,2635.705734,3010.535931,3114.668912,2435.005721,2210.008251,2901.607434,2837.22262,2801.592805,2648.239323,2429.858777,4398.95357,2473.833142,2441.012985,1939.943109,2824.920284,2395.595183,2387.62092
434.245,1429.583496,3204.683515,2938.598981,2635.207823,2983.846825,3401.122863,2558.050136,2390.893276,3013.349467,3061.067556,2914.739676,2757.096849,2604.620164,4713.187347,2566.572192,2571.520966,2134.389639,2900.23689,2453.281811,2328.296104
438.581,1190.604807,3264.319281,2753.065007,2459.869907,2880.727712,3369.816806,2446.574498,2246.408252,2924.941493,2895.512485,2797.626542,2760.094371,2592.601494,4679.961032,2444.551186,2611.128941,1905.596164,2869.613434,2243.868386,2210.061283
442.91,1039.766113,2621.615039,2472.590103,1950.441982,2410.688591,2785.64074,2016.448789,1936.733163,2538.193512,2401.297406,2325.4734,2322.991884,2176.942751,3616.704597,2212.590107,1983.106909,1579.122683,2465.859895,1883.014891,1861.736455
447.238,584.2274139,1727.810787,1820.82403,1416.474049,1754.74946,1909.494662,1403.112992,1278.377993,1697.40552,1480.612316,1687.990247,1491.509388,1407.823917,2283.13801,1469.458938,1354.294867,999.6691945,1652.736253,1276.741308,1230.401619
451.561,298.2887082,863.1645224,1222.496528,785.4161043,1087.210315,1104.528569,691.7970859,633.0607213,820.7775158,832.8172132,1053.837082,729.0068805,597.1649702,1102.381233,615.9576556,568.7828144,383.9626973,856.9994832,557.7836165,558.1067722
455.88,71.53699475,534.7882422,993.0073171,505.9081458,713.5111547,627.7134597,395.4710486,159.3603287,500.5894961,354.262095,785.2039015,328.5643587,477.1238872,750.2042278,325.9962381,297.7467476,189.4071893,485.2055602,451.8037959,390.6019133
460.194,57.53427217,282.2349438,904.6941052,415.4001713,564.981976,480.9193297,158.8448576,279.3267939,397.3914584,297.4959586,678.1207033,288.9718202,248.2006451,431.606955,313.5576621,93.86466477,103.6916687,306.1046576,199.0808239,181.6220398
464.505,-4.381460838,76.99962448,641.8395906,282.2921783,438.562776,277.2251762,39.45848984,-5.092904336,243.9134001,-1.746198815,525.5074845,25.24926269,90.41422012,181.0393738,106.2899038,29.9225635,33.29113372,138.5801484,128.897678,42.12914967
