wavenumber,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
401.058,840.0602828,1071.64778,937.7641703,596.9081905,762.6053637,724.6792547,645.5842406,876.5682269,746.8621397,740.9040964,568.032864,529.4982755,756.6605081,912.7375188,669.4396478,729.795546,950.9574964,599.9928009,957.8206353,709.7894136,859.7498967,859.7498967,909.7550214
402.149,784.0508958,1047.434193,904.0362349,504.2439396,762.3770664,691.5447118,693.0124712,783.9556583,761.3796419,668.6639026,517.0265588,496.4893969,680.5728544,855.9262608,628.7261136,712.3325778,842.6971726,551.6381641,941.7731769,679.2503713,786.4366464,786.4366464,777.7132971
403.243,790.5225087,1096.016607,957.2882995,531.7716888,763.987769,691.5061688,695.8507018,833.2870896,735.172144,690.1147087,590.8602537,472.0105184,726.5442007,886.1480026,692.0285793,715.6696096,884.8968487,596.9185273,1006.995718,673.303329,800.1873961,800.1873961,861.4395728
404.332,739.3461216,1087.77602,904.5803638,589.4074379,723.0294716,771.6796259,683.4989324,824.8585206,786.406646,635.9175148,555.8689486,435.2516398,711.9295471,825.5737442,625.734045,692.5146414,862.7065248,594.8188904,1007.78826,691.8662867,783.6191458,783.6191458,795.7338485
405.424,694.8617345,1008.734433,836.8124276,476.098187,693.4161742,585.5580829,656.9571629,711.6739512,704.4501474,603.4863209,537.8696434,423.9957612,683.1428933,805.6324853,602.9135107,639.1796731,750.8592009,548.3162535,966.9908002,587.6842444,700.9778955,700.9778955,744.2781241
406.515,675.9143472,955.2988468,829.4844904,477.0569361,644.0668767,594.9115398,613.4853934,691.0823809,756.4836482,589.0241269,544.4023382,398.6208826,598.8072395,785.7232254,568.8219763,594.4347047,824.8958768,507.5576166,883.8543398,563.8242019,703.322645,703.322645,672.1943996
407.606,673.9579599,889.7612599,816.5595518,514.7526851,650.390579,608.0379966,685.9336237,756.2188094,777.3611478,604.7359328,522.7070329,401.5620038,623.8745856,794.1229643,542.3644418,583.6877363,783.0155527,565.7619796,933.665878,540.0371594,713.2193945,713.2193945,654.878675
408.697,607.1235724,757.6246728,752.9386114,440.5104339,543.8972813,578.8754532,575.857854,651.0352361,650.5936458,489.7267385,479.4837274,355.634125,488.1069316,752.7127013,485.9239072,515.6197677,631.2532283,539.2653424,817.9234141,516.3421167,524.7131437,524.7131437,619.7529502
409.785,544.1819847,764.8260855,686.6666684,414.3681826,483.6829833,496.2549097,592.884084,603.3946606,670.6791417,486.7745441,441.0824219,337.0712461,502.9602773,717.9964359,477.5533724,449.5797989,615.1269037,420.7837051,818.0139476,479.5700739,543.3138928,543.3138928,579.0722252
410.876,487.9276967,678.1344977,629.8927221,344.1439311,462.058685,426.9193659,527.2563138,579.3010822,646.5946349,432.1903494,398.9861161,304.453367,453.0056228,725.5721675,442.9008374,438.1018299,553.0195788,417.9720676,783.3564776,418.4500308,498.9736416,498.9736416,476.5084999
411.967,470.2292484,664.7149095,602.2217719,394.9606794,534.1873864,442.0468219,490.7415433,518.6385003,629.0541248,448.9381545,454.4218101,315.9204876,513.755968,781.8178953,480.4443021,484.7558605,570.6652535,494.7964298,807.7560033,477.4249874,567.18239,567.18239,548.5417743
413.055,425.4102196,589.4363207,600.6958168,435.2304274,492.7020875,476.6762774,471.0107725,499.2469141,552.4286106,459.0089592,454.3275037,285.1196081,419.7423128,726.3326184,442.8277664,426.3478908,505.7059278,458.9027917,713.9295238,387.2419437,438.425138,438.425138,499.5420482
414.143,403.1639304,552.6277313,528.870856,363.9451751,364.2177881,387.6067325,416.5510012,521.9083229,521.7060915,426.8717634,364.2841971,267.3867282,400.7076572,701.6943361,384.5722304,396.0929207,430.4776015,418.2591533,658.5240381,321.5038995,487.5738856,487.5738856,428.1773217
415.233,400.6049406,544.8081412,644.7858886,400.1089223,452.6304881,415.3811872,434.9212294,478.1207258,593.6625667,453.5635672,409.74889,317.762848,404.0550011,669.5040473,506.5406938,408.82795,506.5942746,445.7355144,723.5735452,400.5908549,471.0776325,471.0776325,455.9635945
416.321,434.4101502,533.2425501,565.3949135,374.5316691,399.9181876,433.6376412,505.301457,480.0941218,581.3980354,415.7873704,367.3395824,350.1789674,494.0053444,814.3967511,497.4881568,424.2749788,495.665947,516.804875,738.8800438,333.9358097,437.7673788,437.7673788,508.7868667
417.409,391.8091591,538.4429581,570.8999298,401.1014154,343.6398863,394.1060946,497.227684,470.8705102,570.9974965,374.398173,413.4152743,316.3920863,407.774687,704.7394463,435.3886191,411.737007,481.0096186,384.7612351,689.8875329,369.8217639,398.0261244,398.0261244,463.7201381
418.499,403.2163671,555.7043649,562.4809361,414.5981611,413.8745843,414.1745472,463.2159102,511.8338899,504.007949,465.9619749,355.3479656,307.8192048,469.5180289,699.5101317,449.6900808,420.6090344,480.3602892,487.2305945,746.0310111,398.1657174,470.8098691,470.8098691,496.8254087
419.586,354.3126743,474.6807705,569.0309315,351.2099061,381.0442814,438.9099991,435.0081356,436.8282599,614.3963918,377.425776,430.1556561,350.3413227,487.5423699,729.6318062,472.4015416,410.019061,506.7029588,490.2749532,694.5614772,419.9986701,435.894613,435.894613,510.3786783
420.673,430.5060804,592.9881748,622.9339146,425.1736503,440.0799775,424.84745,434.83836,467.656619,646.824824,431.8085761,473.4293459,360.45844,466.73571,709.8394683,433.2000016,387.4820867,492.3946273,502.7533111,835.9749295,387.267622,480.8313557,480.8313557,523.9439468
421.761,503.7155855,638.0335775,670.4358842,497.2923938,505.5936726,495.1528999,491.2895834,564.1479663,708.9382442,533.3203753,485.3750349,359.6085566,517.3030491,837.3171167,508.0384607,511.1581114,561.5372945,543.166668,846.8923668,437.0525728,488.8370974,488.8370974,573.6032142
422.848,512.1147893,668.3079786,732.8438389,480.7921364,490.7743664,524.8713487,546.0068056,615.2923005,651.9486512,504.5061734,459.6417229,357.9916724,510.6253871,795.70475,549.6919186,500.7201349,648.2999604,535.696024,862.6567874,452.7055227,523.7888378,523.7888378,589.0604803
423.935,518.6631918,740.1703779,752.8837773,510.6518779,612.7510591,532.5627962,628.5370266,611.0736203,706.9060437,573.7049704,513.5214098,442.3607874,558.5367238,831.8903666,613.6313755,546.6881573,699.1146247,569.0533789,866.6031896,547.8554714,598.5325768,598.5325768,618.412745
425.02,529.8228929,764.9547752,673.3736979,498.1416184,613.8107503,559.7292425,609.6012462,622.6129245,771.1214204,500.803766,525.9310956,418.7609014,563.0970591,779.5699649,505.079831,492.0791784,670.6422875,538.8287325,836.5345717,468.5934188,585.6323143,585.6323143,606.2560082
426.106,584.3162924,786.9631703,791.3275992,590.8033577,619.50444,624.7066872,664.4934644,641.5332118,720.0197797,570.0155602,539.2787802,401.6630145,595.338393,795.5755431,618.9242852,479.961198,774.0999484,584.2860849,896.907932,499.1783649,597.6700503,597.6700503,636.5442697
427.193,576.0678902,870.6655632,815.0844794,551.5120956,685.9771281,638.8671305,616.9676809,683.4414808,780.4501202,583.8173529,571.9144634,419.5701265,639.4897253,876.9520996,625.6717378,580.2802161,744.6746074,602.9094358,942.4002683,532.4563095,695.3647844,695.3647844,659.4025293
428.278,647.0274862,904.4619536,868.1843369,585.8658322,719.1228144,600.415572,745.3198956,723.3957299,769.7994402,658.3301439,620.0741452,499.1002374,614.4400559,880.7626323,637.8391888,583.7182325,859.7892643,602.0707852,965.6325789,522.3342525,677.7175167,677.7175167,710.7417871
429.364,673.6940803,1013.627341,822.64617,624.7025673,733.7464988,728.5390117,762.0381085,751.2789576,824.4457381,641.5699332,621.1508253,461.5763469,693.3803846,908.4231394,672.0056381,597.2402471,843.038919,619.5661329,988.7448615,629.0621938,681.199247,681.199247,668.0960427
430.45,708.5996722,1014.117726,952.8579766,654.2973007,762.1551811,718.5324495,774.1463193,765.3321623,845.9120121,669.9057205,562.4605038,471.9394551,696.7967113,832.1306189,697.8500854,611.6662598,894.3785713,616.8154787,995.2771139,616.0821332,752.7409751,752.7409751,745.9962961
