Spectra1,Spectra2,Spectra3,Spectra4,Spectra5,Spectra6,Spectra7,Spectra8,Spectra9,Spectra10,Spectra11,Spectra12,Spectra13,Spectra14,Spectra15,Spectra16,Spectra17,Spectra18,Spectra19,Spectra20,Spectra21,Spectra22,Spectra23,Spectra24,Spectra25,Spectra26,Spectra27,Spectra28,Spectra29,Spectra30,Spectra31,Spectra32,Spectra33,Spectra34,Spectra35,Spectra36,Spectra37,Spectra38,Spectra39,Spectra40,Spectra41,Spectra42,Spectra43,Spectra44,Spectra45,Spectra46,Spectra47,Spectra48,Spectra49,Spectra50,Spectra51,Spectra52,Spectra53,Spectra54,Spectra55,Spectra56,Spectra57,Spectra58,Spectra59,Spectra60,Spectra61,Spectra62,Spectra63,Spectra64,Spectra65,Spectra66,Spectra67,Spectra68,Spectra69,Spectra70,Spectra71,Spectra72,Spectra73,Spectra74,Spectra75,Spectra76,Spectra77,Spectra78,Spectra79,Spectra80,Spectra81,Spectra82,Spectra83,Spectra84,Spectra85,Spectra86,Spectra87,Spectra88,Spectra89,Spectra90,Spectra91,Spectra92,Spectra93,Spectra94,Spectra95,Spectra96,Spectra97,Spectra98,Spectra99,Spectra100,Spectra101,Spectra102,Spectra103,Spectra104,Spectra105,Spectra106,Spectra107,Spectra108,Spectra109,Spectra110,Spectra111,Spectra112,Spectra113,Spectra114,Spectra115,Spectra116,Spectra117,Spectra118,Spectra119,Spectra120,Spectra121,Spectra122,Spectra123,Spectra124,Spectra125,Spectra126,Spectra127,Spectra128,Spectra129,Spectra130,Spectra131,Spectra132,Spectra133,Spectra134,Spectra135,Spectra136,Spectra137,Spectra138,Spectra139,Spectra140,Spectra141,Spectra142,Spectra143,Wavenumbers
34094.15053,20568.0219,39500.75328,39595.15549,39673.04183,31042.82173,44261.94913,37855.33235,26594.48216,32662.93116,58417.71989,40641.05597,31665.0364,34486.40083,43436.40108,47555.91512,47145.03758,31502.23397,35442.85769,46669.74129,5165.921208,5584.854773,8593.108555,9629.021758,9453.624824,9811.645811,9407.052424,10107.10772,7139.515122,10542.40172,8576.523661,9430.220521,9236.026113,8692.895438,12430.71225,10847.14362,8176.412475,12916.59572,9767.348961,10325.15818,13099.866,13099.866,8499.038654,11455.25431,11723.93929,15031.84636,10547.78994,8047.223909,17794.02361,10886.1633,15442.92801,16441.46345,10338.31053,14506.29901,16197.05011,12772.83331,10963.95445,14639.57251,10417.70096,16310.63991,15695.61206,11065.39051,9236.372038,8595.118095,10322.68118,13807.53333,10003.98696,15715.90724,16613.84663,16574.96397,12815.38613,8981.246613,9952.281255,11371.02,11647.244,12827.46466,11236.36943,10324.02511,9134.388712,7182.431229,12778.87837,6234.164171,8836.936485,7272.664157,13905.81056,9094.497044,8426.123716,7298.839358,14388.60131,8164.3802,13774.41579,10309.79408,10244.40127,10374.6399,10184.45205,7598.021709,12056.17665,9299.015075,9286.844105,12843.73657,19790.32344,10760.99789,24716.75803,36013.71678,26714.19147,28789.05752,25115.06369,30055.02172,27001.30392,30517.17697,27848.59548,32040.95016,35616.25102,32472.97225,35996.56431,29493.08871,27755.27013,5290.66113,6921.232374,6780.682298,6947.903121,7023.019843,8772.80628,7755.492337,7362.746325,7142.135155,6513.947551,7969.492725,7609.337618,7980.766931,7493.662951,6822.197349,6955.758034,9149.382442,7301.736085,10854.75209,8524.650945,13880.50132,8820.986741,7822.935164,7372.353709,7977.378505,8116.40818,2888.03
34536.13521,21209.74834,39553.13546,39888.87033,39958.75699,31414.60726,44238.27958,37847.38485,27049.41516,33389.01227,58243.81361,40790.91591,31879.24796,35757.49566,43580.87608,47763.00338,46664.82349,31902.37829,35604.91161,46654.94841,5272.571019,5838.739708,8725.126986,9721.364464,9556.020161,9929.27589,9564.309042,10080.8821,7333.257191,10594.24374,8728.881473,9543.738535,9365.259742,8825.523488,12446.21715,10854.68465,8403.437023,12897.04273,9870.944612,10298.61559,13021.55029,13021.55029,8645.910737,11475.46592,11755.69661,14816.04005,10326.01224,8184.161088,17665.35874,10944.6785,15132.36562,16095.74988,10353.33049,14416.16104,16226.6493,12755.30946,10754.6466,14416.26345,10250.22072,16250.00888,15680.93756,10876.72848,9228.524673,8831.041171,10383.14773,13782.97031,9994.564066,15547.32926,16404.72481,16414.38554,12945.77312,9499.4536,10099.54542,11331.57095,11834.00753,12819.45122,11520.80242,10640.4785,9506.215437,7423.749166,12919.03997,6747.939086,9281.854248,7863.328437,14067.11256,9787.827187,8842.05459,7937.937842,14326.9909,8703.670135,14086.43191,10810.14098,10260.57428,10877.69711,10449.41029,8118.236033,12319.2234,9469.242638,9763.271241,12792.07745,19824.53257,10857.62279,25668.56478,36846.8319,27275.72311,29038.80645,25883.48807,30175.44501,27025.58203,32687.6653,28820.9284,32326.30703,35906.0069,33102.74521,36473.61201,29667.91098,28316.09192,5380.55899,7041.597583,7093.329523,7099.500044,7112.139735,8869.698604,7879.798573,7434.628591,7324.338464,6637.88162,8262.913437,7725.721896,8130.452109,7690.250197,6938.359776,7213.251942,9506.855677,7483.130489,10970.65748,8680.875063,14029.56707,8835.091235,8042.197564,7487.739214,8057.485996,8180.748357,2890.54
35170.17535,20071.99311,40154.54701,40008.54478,39614.1283,30599.13396,44556.22854,38101.67148,26335.54592,32615.24988,59374.33703,40534.59684,31545.79484,34408.97964,43725.93306,47841.13318,47373.35863,31305.16134,35786.69401,47394.24088,5040.702517,5311.353279,8595.207549,9780.39301,9328.179759,9770.112491,9437.522218,10120.79828,7154.983378,10626.24229,8756.336849,9537.195089,9180.101125,8895.86674,12449.3828,10873.87496,7951.580506,13022.04011,9902.657893,10365.87279,13075.3107,13075.3107,8470.660252,11221.77848,11405.18639,15056.47204,10627.08561,7679.167462,17545.10294,10774.85827,15285.20577,16365.9973,10102.79492,14363.54952,16081.06526,12459.36446,11037.18351,14468.79705,10328.50565,16289.58746,15505.19462,11120.57066,9163.298398,8261.469979,9940.520825,13571.50636,9780.320393,15602.40293,16303.18985,16215.95886,12596.10288,8639.242191,9759.120004,11008.0829,11383.59121,12802.19324,10950.3503,9905.677742,8540.594221,6715.995601,12495.92738,5650.341197,8206.998314,6745.636108,13363.4274,8290.882579,7942.675651,6555.301553,14231.22122,7485.05372,13146.11547,9795.357398,9896.436715,9726.588846,9773.323409,7017.280968,11404.44369,9031.68957,8653.265335,12491.60394,19650.63881,10542.47619,24018.98112,34568.93971,25778.79001,27939.6461,24104.66198,29473.14151,26361.46231,28313.20551,26427.38912,31423.93733,34389.13687,31157.83337,35400.2688,28715.20371,26767.87793,5137.911366,6638.878872,6357.689294,6638.274616,6857.094927,8519.645384,7528.983588,7126.625732,6796.982795,6219.733933,7626.321899,7336.539379,7795.301376,7259.039924,6607.931152,6767.351393,8572.484351,7081.656282,10619.31408,8294.764126,13436.63747,8536.027815,7405.58528,7183.025825,7780.052,7943.186802,2885.52
6160.732923,5529.430573,13982.24048,11906.57337,14445.96783,11860.98841,20265.37695,17555.05542,7075.503992,9366.852668,26581.36032,17644.46206,13527.70876,6817.607075,19209.40306,22036.0445,22826.57753,12466.42291,12525.90793,19922.1598,1613.886516,1574.125765,2497.097784,1933.134853,3573.033916,3649.640165,3906.186163,4513.555343,946.2490216,3429.508882,1128.102199,2234.218521,2449.727376,1115.10696,4136.667514,5066.155146,2134.389651,4223.870368,2598.096265,4659.368734,6514.357351,6514.357351,2545.059738,4183.131126,4141.334589,9668.479978,6934.527066,2350.314157,10695.80422,6552.75495,9423.14338,10365.22887,5787.534632,4946.668444,9727.257196,7253.548253,7316.063093,9262.305715,6273.772049,9804.830556,8925.078631,7075.176919,5334.898284,4051.17477,5148.985808,7808.397022,5360.121903,9942.10993,10068.49483,9453.317285,3916.237503,3252.573821,2924.71611,6174.948788,5999.128587,7720.580025,5968.15155,4713.805246,3329.126971,2443.192219,6624.575528,808.6425568,2644.616318,1985.322983,7176.925955,2004.229599,2982.738398,1067.024293,5027.113709,1885.638703,6468.917249,4226.423582,3403.396818,3561.447647,4716.55816,1640.555322,5527.28096,2725.595806,3416.289577,4681.390897,7577.072816,3577.793017,10312.08848,15449.96165,11863.2763,13709.40518,9443.552354,15265.53097,13060.4336,6301.020691,10369.29973,16217.5432,16628.67637,13062.34395,18634.62318,14647.22059,11919.02325,2491.418358,3036.66696,1974.730237,2979.030644,3149.302213,4206.906602,3494.885116,3415.222756,2978.697423,2798.383521,3046.502248,3332.197958,3702.353307,3291.553083,2990.96581,2868.553723,2882.508035,3045.228804,5422.151508,3845.307401,6698.004743,4194.802937,2785.841922,3325.231778,3872.749784,4009.046462,2834.62
5501.521242,5166.835804,13284.25979,11231.01414,13721.25241,11357.91967,19488.72633,16882.60949,6571.413274,8706.331335,25490.97345,17061.78527,13042.02825,6205.229177,18332.24123,21107.36702,21887.61855,11963.8341,11760.18218,19092.87123,1488.017244,1432.711995,2357.762544,1722.163939,3360.072708,3478.441923,3755.360493,4269.323141,770.2407753,3178.937852,937.3199294,2017.953468,2229.015592,927.8477948,3931.742468,4936.586604,1958.273821,3947.978824,2392.703431,4399.795287,6275.022551,6275.022551,2343.771046,3986.1087,3951.806268,9385.596506,6871.435622,2289.978764,10477.73332,6374.834798,9208.717076,10173.46748,5676.856562,4761.23276,9475.635035,7107.083466,7181.832592,9023.530643,6086.701018,9654.693083,8765.871592,6932.891026,5151.580956,3915.907681,4941.373816,7646.516546,5254.071044,9775.453536,9946.674181,9261.223134,3775.353262,3155.191652,2792.100104,6030.622522,5839.506107,7466.92694,5882.605724,4629.881055,3200.340643,2281.613431,6440.716136,750.2691752,2641.007062,1873.898067,6952.398766,1916.946554,2904.774353,1003.430275,4753.861452,1806.880371,6257.013409,4142.091882,3283.698737,3457.043188,4542.871626,1555.651241,5390.244467,2648.904614,3324.012592,4552.758754,7214.625342,3435.84536,9973.568404,14850.96461,11482.12297,13332.89954,9193.824567,14777.87837,12820.69643,5916.204124,9949.247912,15748.48781,15978.14728,12496.19662,18049.03841,14400.5481,11463.56613,2386.690115,2937.899722,1899.750065,2852.810576,3005.815083,4015.838039,3348.380901,3280.700252,2879.641522,2654.503949,2896.111155,3234.85485,3571.363063,3139.906121,2878.284961,2721.915016,2738.399079,2926.773248,5209.854795,3687.801611,6472.612704,4064.523695,2641.636626,3223.433034,3798.5107,3890.949119,2832.04
36222.32948,22100.37254,40132.59881,40931.98944,40418.57389,32193.19067,44329.02018,37984.12921,28412.54507,34461.99334,58343.11828,40852.57677,31979.7298,37518.96486,43610.85836,47466.79805,46545.31643,32260.09462,36183.55622,47106.06233,5375.257107,6075.967069,8865.412032,10150.92903,9606.947237,9981.570807,9597.448729,10051.7869,7662.895321,10826.10397,9174.607851,9745.114888,9587.21218,9231.514424,12683.26911,10794.30247,8618.924543,13089.69909,10136.91287,10304.93064,12896.92318,12896.92318,8931.267938,11392.91385,11688.45859,14281.75307,9945.752472,8229.919186,17276.00844,10706.60392,14853.21862,15717.1566,10244.05492,14187.03582,15940.86289,12635.99305,10290.95981,14130.36987,10178.6647,15823.79442,15406.07128,10731.9845,9125.14625,8832.289448,10515.32059,13453.41742,9987.05177,15020.369,15997.62434,16061.32362,12890.86411,9694.463325,10126.61272,11347.23576,11849.78187,12610.05291,11406.74927,10788.63804,9898.754467,7758.569554,12977.21226,7304.626093,9825.781697,8262.039072,13936.23339,10306.57304,9143.618292,8624.267232,14257.69018,9320.143718,14258.36389,10984.49821,10194.35586,11244.76066,10370.29828,8659.574111,12529.984,9529.972458,10023.70688,12796.22678,19398.26637,10804.55109,25860.20151,37386.68538,27674.28511,29060.39308,26614.43543,30222.41154,27238.69672,34660.77117,29358.78817,32309.10803,36218.40467,33916.35258,36369.91204,29678.07064,28784.74351,5408.911183,7150.521498,7456.251086,7239.217506,7203.061291,8931.466254,7981.630452,7554.919358,7448.410635,6720.38301,8459.322563,7812.301265,8199.270696,7809.156039,7053.81663,7358.347919,9860.669331,7612.732208,10932.18219,8789.292636,14125.19976,8931.74156,8282.84774,7564.190389,8031.985059,8176.180896,2893.05
5059.986372,5048.516048,12712.35421,10667.25544,13360.83495,10960.2453,19113.9699,16426.74255,6280.715701,8389.746178,24649.99404,16658.80577,12793.50556,5759.491932,17954.57048,20552.09287,21422.16376,11642.10365,11470.02965,18665.28631,1483.672735,1402.954409,2216.984364,1577.945711,3232.204176,3355.354147,3685.055684,4186.527946,675.3882381,3038.11773,797.7911653,1874.42225,2107.552136,829.3137431,3739.13707,4783.868612,1887.871981,3796.401981,2291.706433,4278.137231,6164.285209,6164.285209,2277.97456,3858.668977,3835.285297,9293.029995,6755.601072,2129.488584,10299.97075,6212.461467,9130.602685,10034.52337,5553.518113,4603.762281,9294.922636,7002.350591,7111.784071,8859.497839,5950.239086,9414.868131,8642.366137,6759.872912,5053.795826,3755.984879,4887.823531,7541.96114,5126.257747,9533.811644,9689.872721,9094.841198,3562.56458,3016.876738,2709.430267,5982.827591,5796.030412,7422.466407,5709.691485,4468.18827,3130.653423,2259.792683,6354.092768,739.0136365,2485.343953,1795.995522,6877.207831,1857.447179,2837.551335,1000.890956,4618.511182,1739.260026,6108.801325,3988.756159,3144.304714,3367.489409,4504.392636,1501.525858,5342.408038,2498.049455,3287.789395,4355.198246,7037.254937,3354.654389,9800.57036,14586.29255,11252.19038,13022.62213,8899.608582,14404.55991,12428.08846,5684.045328,9844.411585,15414.26837,15838.84946,12262.47004,17740.99579,13969.50466,11226.72906,2332.226763,2858.008981,1834.015876,2773.62323,2925.568591,3981.203586,3265.083344,3208.395841,2845.350976,2636.266571,2817.427092,3175.281369,3480.141531,3092.646868,2826.909854,2674.223544,2692.690932,2901.962347,5128.386532,3606.586025,6376.369237,3970.214678,2601.263112,3114.219916,3702.042373,3839.263021,2829.47
6907.331555,5888.850483,14542.80768,12565.93331,14952.48141,12160.95168,20943.42274,17945.18117,7517.148032,9993.170361,27299.55483,18315.63631,13922.24783,7336.73683,19760.75694,22468.4255,23363.04085,12918.37085,13008.40787,20740.85219,1684.021066,1600.540441,2616.419583,2156.344428,3637.873319,3798.802459,4036.744598,4643.663185,1090.707119,3528.090944,1340.104663,2423.137412,2584.161581,1350.247149,4348.415109,5238.66036,2226.628934,4438.895762,2735.119639,4763.329041,6674.865476,6674.865476,2680.781441,4265.528353,4273.17064,9625.680627,7050.205527,2397.025048,10723.68382,6491.95215,9489.181861,10468.80781,5711.672605,5054.849739,9688.689435,7343.385279,7318.575618,9255.193302,6232.533573,9904.980843,8972.097649,7130.520683,5390.769175,3931.567562,5141.549768,7905.632882,5465.640521,10062.48108,10054.23488,9486.223953,4083.517737,3336.69353,3049.768638,6182.196575,6054.618101,7780.895866,6042.889133,4704.36111,3373.942591,2460.099274,6758.101231,885.833984,2801.121913,2012.100473,7226.139598,2123.206437,3040.423589,1158.033303,5141.868369,1933.475299,6568.873107,4278.291505,3543.439206,3675.253086,4780.483806,1685.438349,5626.54775,2868.893346,3496.630601,4822.845044,7728.797803,3693.077709,10507.23108,15637.18448,11935.25094,13916.63964,9671.99256,15404.41831,13378.10047,6651.076002,10599.26768,16354.23509,16855.5374,13258.71278,18831.45076,14965.62268,12124.501,2490.830715,3109.332457,2053.222091,3013.840377,3163.156894,4308.470622,3508.718378,3462.92164,3044.896099,2862.358137,3116.85488,3422.125022,3703.92471,3330.701708,3019.212162,2886.327385,2917.353339,3121.096189,5494.796496,3882.203283,6779.453845,4244.995596,2878.019855,3369.141349,3909.260126,4081.948228,2837.19
8052.347279,6199.305664,15274.87268,13502.99416,15837.69334,12653.30966,21459.06468,18539.78751,7933.975572,10764.3846,28336.55719,18846.90821,14494.64621,8154.459637,20326.60386,23225.11016,24032.40866,13420.5787,13795.28298,21378.84857,1791.941169,1718.245655,2811.96391,2444.60627,3907.879858,3989.433548,4236.766234,4810.824026,1344.495087,3808.609994,1657.549606,2745.098472,2862.645504,1684.83472,4732.12054,5454.399363,2447.777131,4795.687039,3047.691215,4970.840359,6860.053992,6860.053992,2889.198388,4401.572435,4414.914799,9760.49866,7014.021126,2462.161723,10911.77253,6649.606616,9604.932771,10628.70452,5980.850754,5301.267049,9826.132059,7314.404864,7452.970205,9377.893644,6317.396922,10033.54423,9175.499033,7268.912406,5430.89494,4097.227429,5206.785957,8004.014433,5480.717089,10184.96724,10247.89453,9696.743432,4319.364392,3377.111059,3206.578039,6348.396062,6193.99489,7810.784658,6109.268641,4857.538907,3449.787685,2518.554819,6831.293522,891.5736588,2896.71404,2145.670739,7376.799889,2255.117189,3298.590043,1181.247597,5371.305839,2085.760436,6746.001239,4452.365892,3661.696149,3743.149797,4885.910085,1898.300568,5820.355069,3043.767548,3567.835914,4957.011556,8084.010741,3808.84978,10650.49666,16058.63385,12288.14747,14240.20349,9944.245794,15676.64095,13622.59751,7011.211025,10958.45239,16546.26403,17295.63102,13775.90389,19201.32183,15280.55491,12405.89994,2562.802475,3206.371723,2135.192532,3061.703135,3288.807115,4356.544964,3637.757286,3539.435578,3112.836852,2920.687651,3184.526856,3483.842197,3840.432556,3391.720559,3142.142803,2985.332821,3052.75009,3185.490909,5655.327831,3974.610933,6950.629233,4325.862019,2968.313659,3448.451491,4030.997648,4154.970293,2839.76
4706.078172,4768.031174,11960.91219,10022.49709,12733.41528,10408.76512,18255.80663,15687.25378,5880.401092,7979.747014,23847.42189,15910.32335,12259.23994,5566.144132,17308.08978,19928.7219,20605.813,11159.83074,10819.34934,17812.00487,1374.938744,1322.316534,2143.747792,1502.261476,3114.018615,3201.403791,3478.75286,3990.674562,620.189874,2898.386365,709.6159505,1785.450848,1977.119258,699.9342428,3562.535555,4591.487826,1768.137999,3598.48946,2120.351077,4087.816495,5856.139857,5856.139857,2152.524552,3686.33982,3652.831291,9001.58022,6551.413281,2039.243328,9935.516084,6065.004729,8838.599935,9639.996283,5307.029001,4462.266595,9043.819673,6686.039295,6890.82748,8616.167044,5813.3448,9154.255397,8294.79186,6634.572474,4933.031479,3639.144912,4628.704683,7275.95048,5017.801808,9199.283988,9443.190225,8837.471167,3426.641017,2950.038792,2598.216241,5774.483804,5685.291245,7149.978215,5635.988656,4411.636621,3006.925124,2182.289746,6202.705133,643.5657374,2410.726793,1739.985142,6589.842942,1742.11135,2713.249221,927.0160433,4414.962482,1672.777388,5822.82073,3850.866165,3028.594494,3182.926011,4282.549577,1432.008924,5078.91143,2503.24001,3126.619732,4173.929002,6772.061146,3210.469752,9471.893856,13974.54469,10787.47794,12561.37234,8518.003772,13968.675,12070.70918,5466.343325,9396.290104,14797.7843,15139.4822,11785.2634,17079.69461,13511.58972,10756.51145,2216.912365,2778.352727,1762.457994,2664.394398,2843.903972,3844.259391,3170.829921,3105.815486,2723.551934,2535.120984,2722.753742,3057.667782,3346.905258,3004.662065,2707.301705,2578.545471,2558.114294,2823.737864,4952.01515,3482.758458,6171.705561,3831.991887,2529.702693,3003.596631,3587.631112,3669.869515,2826.89
